"","feature","coef"
"1","(Intercept)",-0.455829444627482
"2","term60 months",0.39892451846384
"3","pub_recg0",0.0276404577722413
"4","annual_inc",7.25755587524025e-07
"5","dti",0.00207661746356417
"6","month_diff",-0.000169452977118352
"7","int_rate",0.0531325923120016
"8","loan_amnt",1.08182068484856e-06
"9","gradeB",-0.0525258467443838
"10","gradeC",-0.0582122955166135
"11","gradeD",-0.106363864769651
"12","gradeE",-0.155560134543821
"13","gradeF",-0.190995284221621
"14","gradeG",-0.178763424714672
"15","addr_stategME:CO:WV:WY:WA:SC:KS",0.0493218017544734
"16","addr_stategND:NM:SD:TN:LA:NV",0.0911130971750172
"17","addr_stategOK:AL:AR:MS:NE",0.0575704666546044
"18","addr_stategother",0.0637639310041715
"19","purposegother",0.0244828468391104
"20","purposegrenewable_energy:educ:moving",0.173379535384029
"21","purposegsmall_business",0.111542081262182
"22","purposegwedding:car",0.021035423666617
