"","feature","coef"
"1","(Intercept)",-2.53959907899058
"2","term60 months",0.114506675327207
"3","pub_recg0",-0.0692236771117935
"4","annual_inc",1.90311707295307e-06
"5","dti",0.00753676624549159
"6","month_diff",0.000104225191472484
"7","int_rate",0.000701927696524799
"8","loan_amnt",-1.246088318643e-06
"9","gradeB",0.0369727666077347
"10","gradeC",0.130269059496004
"11","gradeD",0.157096399530384
"12","gradeE",0.203281393461937
"13","gradeF",0.215304036873679
"14","gradeG",0.270537417531207
"15","addr_stategME:CO:WV:WY:WA:SC:KS",0.0163050743922207
"16","addr_stategND:NM:SD:TN:LA:NV",0.129594342467103
"17","addr_stategOK:AL:AR:MS:NE",0.149261035685702
"18","addr_stategother",0.0970179741206392
"19","purposegother",-0.00429489422397805
"20","purposegrenewable_energy:educ:moving",0.01164135021318
"21","purposegsmall_business",-0.196494311015322
"22","purposegwedding:car",-0.14311347831892
